loc,FMP_SUBAREA
-152.333333333333_56.3333333333333,CG
-152.333333333333_57,CG
-152.333333333333_57.3333333333333,CG
-152.333333333333_57.6666666666667,CG
-152.333333333333_58,CG
-152.333333333333_58.3333333333333,CG
-152.333333333333_59,CG
-152.333333333333_59.3333333333333,CG
-152.666666666667_56,CG
-152.666666666667_56.3333333333333,CG
-152.666666666667_56.6666666666667,CG
-152.666666666667_57,CG
-152.666666666667_57.3333333333333,CG
-152.666666666667_57.6666666666667,CG
-152.666666666667_58,CG
-152.666666666667_58.3333333333333,CG
-152.666666666667_58.6666666666667,CG
-152.666666666667_59.3333333333333,CG
-152.666666666667_59.6666666666667,CG
-152_56.3333333333333,CG
-152_56.6666666666667,CG
-152_57,CG
-152_57.3333333333333,CG
-152_57.6666666666667,CG
-152_58,CG
-152_58.3333333333333,CG
-152_58.6666666666667,CG
-152_59,CG
-152_59.3333333333333,CG
-153.333333333333_56,CG
-153.333333333333_56.3333333333333,CG
-153.333333333333_56.6666666666667,CG
-153.333333333333_57,CG
-153.333333333333_57.6666666666667,CG
-153.333333333333_58.3333333333333,CG
-153.333333333333_59,CG
-153.333333333333_59.3333333333333,CG
-153.666666666667_55.3333333333333,CG
-153.666666666667_55.6666666666667,CG
-153.666666666667_56,CG
-153.666666666667_56.3333333333333,CG
-153.666666666667_56.6666666666667,CG
-153.666666666667_57,CG
-153.666666666667_57.6666666666667,CG
-153.666666666667_58,CG
-153.666666666667_59,CG
-153_56,CG
-153_56.3333333333333,CG
-153_56.6666666666667,CG
-153_57,CG
-153_57.3333333333333,CG
-153_57.6666666666667,CG
-153_58.3333333333333,CG
-153_59.3333333333333,CG
-154.333333333333_55.3333333333333,CG
-154.333333333333_55.6666666666667,CG
-154.333333333333_56,CG
-154.333333333333_56.3333333333333,CG
-154.333333333333_56.6666666666667,CG
-154.333333333333_57.6666666666667,CG
-154.666666666667_54.6666666666667,CG
-154.666666666667_55,CG
-154.666666666667_55.6666666666667,CG
-154.666666666667_56,CG
-154.666666666667_56.3333333333333,CG
-154.666666666667_56.6666666666667,CG
-154.666666666667_57,CG
-154_55.3333333333333,CG
-154_55.6666666666667,CG
-154_56,CG
-154_56.3333333333333,CG
-154_56.6666666666667,CG
-154_57,CG
-154_57.3333333333333,CG
-154_57.6666666666667,CG
-155.333333333333_54.6666666666667,CG
-155.333333333333_55,CG
-155.333333333333_55.3333333333333,CG
-155.333333333333_55.6666666666667,CG
-155.333333333333_56.3333333333333,CG
-155.333333333333_56.6666666666667,CG
-155.333333333333_57,CG
-155.333333333333_57.3333333333333,CG
-155.666666666667_55,CG
-155.666666666667_55.3333333333333,CG
-155.666666666667_55.6666666666667,CG
-155.666666666667_56.3333333333333,CG
-155.666666666667_57,CG
-155.666666666667_57.3333333333333,CG
-155_55.3333333333333,CG
-155_55.6666666666667,CG
-155_56,CG
-155_56.3333333333333,CG
-155_56.6666666666667,CG
-155_57,CG
-155_57.3333333333333,CG
-155_57.6666666666667,CG
-156.333333333333_54.3333333333333,CG
-156.333333333333_55,CG
-156.333333333333_55.3333333333333,CG
-156.333333333333_55.6666666666667,CG
-156.333333333333_56,CG
-156.333333333333_56.3333333333333,CG
-156.333333333333_56.6666666666667,CG
-156.333333333333_57,CG
-156.333333333333_57.3333333333333,CG
-156.666666666667_55,CG
-156.666666666667_55.3333333333333,CG
-156.666666666667_55.6666666666667,CG
-156.666666666667_56,CG
-156.666666666667_56.3333333333333,CG
-156.666666666667_56.6666666666667,CG
-156.666666666667_57,CG
-156_55,CG
-156_55.3333333333333,CG
-156_55.6666666666667,CG
-156_56.3333333333333,CG
-156_56.6666666666667,CG
-156_57,CG
-156_57.3333333333333,CG
-157.333333333333_53.6666666666667,CG
-157.333333333333_54,CG
-157.333333333333_54.3333333333333,CG
-157.333333333333_54.6666666666667,CG
-157.333333333333_55,CG
-157.333333333333_55.3333333333333,CG
-157.333333333333_55.6666666666667,CG
-157.333333333333_56,CG
-157.333333333333_56.3333333333333,CG
-157.333333333333_56.6666666666667,CG
-157.666666666667_53.6666666666667,CG
-157.666666666667_54.3333333333333,CG
-157.666666666667_54.6666666666667,CG
-157.666666666667_55,CG
-157.666666666667_55.6666666666667,CG
-157.666666666667_56,CG
-157.666666666667_56.3333333333333,CG
-157_54,CG
-157_54.6666666666667,CG
-157_55,CG
-157_55.3333333333333,CG
-157_55.6666666666667,CG
-157_56,CG
-157_56.3333333333333,CG
-157_56.6666666666667,CG
-158.333333333333_54.3333333333333,CG
